name,faculty,start_time,days,std_enrolled,class_limit,class_code
BUSINESS LAW,Mahwish Baasit Hussain,10:00,TUE - THU,53,53,96858
BUSINESS COMMUNICATION,Talat Hameed Davis,16:00,MON - WED,46,46,97088
CALCULUS - I,SAMREEN ZAMAN,16:00,TUE - THU,37,45,96998
PRINCIPLES OF MARKETING,Dr. Asim Shabir,13:00,MON - WED,40,41,96699
FRENCH LANGUAGE - I,LEROY JOHNS,13:00,MON - WED,29,31,96692
Management & Organizational Behavior,Usman Nazir,10:00,MON - WED,43,45,97298
STATISTICAL INFERENCE,Dr. Akhter Raza Syed,14:30,TUE - THU,39,40,96988
CHINESE LANGUAGE -I,Zhang Jun,08:30,TUE - THU,39,39,97237
Introduction to Machine Learning,SOLAT SHEIKH,10:00,TUE - THU,31,40,97142
CALCULUS - II,SYED AHSAN KAMAL,14:30,MON - WED,27,40,97432
CALCULUS - I,HAFIZA AMER,11:30,TUE - THU,34,40,97424
Transnational Islamic Politics in the Post-9/11 World,Sajjad Ahmad,08:30,MON - WED,31,31,96729
BUSINESS COMMUNICATION,Samina Wahid Perozani,13:00,TUE - THU,45,37,96996
FINANCIAL INSTITUTIONS AND MARKETS,Dr. Azima Khan,16:00,TUE - THU,24,45,96992
STATISTICAL INFERENCE,Dr. Farah Yasmeen,16:00,FRI - SAT,0,45,97748
SPEECH COMMUNICATION,Zunaira Nadeem,14:30,MON - WED,19,25,97147
MICROECONOMICS,Dr. Qazi Masood Ahmed,10:00,FRI - SAT,31,40,97052
INTRODUCTION TO STATISTICS,Syed Tauqeer Ahmed,17:30,TUE - THU,32,40,97087
FINANCIAL MODELING,Saad Usman,20:00,MON - WED,34,45,97386
SPEECH COMMUNICATION,Syed Farhan Shaukat,16:00,MON - WED,25,25,97493
BUSINESS COMMUNICATION,Fatima Hatim Anjary,08:30,FRI - SAT,59,61,97150
INTRODUCTION TO PROGRAMMING,Farhan Ahmed Siddiqui,14:30,TUE - THU,39,40,97143
STATISTICAL INFERENCE,Dr. Saqib Ur Rehman,10:00,TUE - THU,46,46,96841
SOFTWARE ENGINEERING,Furqan Hussain,17:30,MON - WED,37,42,97082
ABSTRACT ALGEBRA-I,Dr. Junaid Alam Khan,10:00,MON - WED,17,40,97224
INTRODUCTION TO BUSINESS FINANCE,MUNIBA KHAN,11:30,SAT,50,52,96877
FINANCIAL MANAGEMENT,Madeeha Omer Lakhani,13:00,TUE - THU,51,52,97591
INTRODUCTION TO STATISTICS,IMRAN SHAHEEN,16:00,TUE - THU,54,55,96746
Fundamentals of Supply Chain Management,Adnan Ahmed,17:30,FRI - SAT,44,45,97201
Deep Learning,Dr. Tahir Syed,14:00,SAT,19,40,96943
GERMAN LANGUAGE,Ms. Nuzhat Saad,11:30,FRI - SAT,36,37,97165
BUSINESS COMMUNICATION,Tehmina Qureshi,11:30,TUE - THU,55,56,97741
Marketing for Startups,Syed Muhammad Ali Bukhari,11:30,SAT,11,40,97687
CALCULUS - I,SAMREEN ZAMAN,13:00,TUE - THU,44,45,96806
WEB BASED APPLICATION DEVELOPMENT,TBA Teacher To be Allocated,11:30,FRI - SAT,0,30,97332
INTRODUCTION TO BUSINESS FINANCE,Tahira Maryam Jafferi,08:30,TUE - THU,47,47,96852
SPEECH COMMUNICATION,Ms Nassera Naushad Ali,11:30,MON - WED,31,35,97496
CORPORATE FINANCE,Dr. Mohsin Zahid Khawaja,11:30,MON - WED,0,45,97337
OPERATING SYSTEMS,TASBIHA FATIMA,10:00,MON - WED,40,40,96918
PAKISTAN HISTORY,Parmal Ahmed,08:30,MON - WED,42,42,97326
PAKISTAN HISTORY,Parmal Ahmed,08:30,MON - WED,42,42,97326
Management & Organizational Behavior,Hassan Mahmood,13:00,TUE - THU,51,51,97302
BUSINESS COMMUNICATION,Sarah Mazhar,11:30,TUE - THU,42,45,97294
CHINESE LANGUAGE -I,Saher Iqbal,10:00,TUE,14,25,96880
PERSONAL EFFECTIVENESS LVL 2,Nadia Sayeed,10:00,FRI,271,350,97679
Introduction to Academic Writing,Shumaila Omar,13:00,MON - WED,19,35,97329
DATABASE SYSTEMS,Ms Abeera Tariq,13:00,MON - WED,46,46,97054
ORGANIZATIONAL BEHAVIOR,Imran Javed Hassan,08:30,TUE - THU,26,46,96854
Programming Quantum Computers,Dr. Jibran Rashid,20:00,MON - WED,12,30,96928
